Date,Portfolio_ID,Position_ID,Commodity,Position_Type,Contract_Month,Volume,Unit,Entry_Price,Current_Price,MTM_Value,Delta,Gamma,Vega,Theta,Daily_VaR_95,Weekly_VaR_95,Monthly_VaR_95,Stress_Test_1,Stress_Test_2,Risk_Contribution
2024-04-01,ENGY-PORT-1,CL-FUT-2024-05,WTI Crude Oil,Long Futures,2024-05,1000,BBL,82.45,83.12,670000,1000,0,0,0,28500,55000,110000,-85000,-175000,0.18
2024-04-01,ENGY-PORT-1,CL-FUT-2024-06,WTI Crude Oil,Long Futures,2024-06,1500,BBL,81.75,82.15,1025000,1500,0,0,0,45000,82500,165000,-127500,-262500,0.28
2024-04-01,ENGY-PORT-1,CL-FUT-2024-07,WTI Crude Oil,Short Futures,2024-07,800,BBL,80.80,81.05,-648000,-800,0,0,0,22000,40000,80000,-64000,-128000,0.15
2024-04-01,ENGY-PORT-1,CL-OPT-C-2024-05-85,WTI Crude Oil,Long Call,2024-05,500,BBL,1.45,1.82,91000,325,120,520,-50,12500,23500,45000,-35000,-75000,0.08
2024-04-01,ENGY-PORT-1,CL-OPT-P-2024-06-78,WTI Crude Oil,Long Put,2024-06,700,BBL,1.20,0.95,66500,-315,90,480,-45,15000,28000,55000,-42000,-85000,0.10
2024-04-01,ENGY-PORT-1,NG-FUT-2024-05,Henry Hub Natural Gas,Long Futures,2024-05,50,CONTRACT,2.15,2.22,332500,500000,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-01,ENGY-PORT-1,NG-FUT-2024-06,Henry Hub Natural Gas,Short Futures,2024-06,30,CONTRACT,2.28,2.25,-202500,-300000,0,0,0,12000,22000,44000,-33000,-66000,0.08
2024-04-01,ENGY-PORT-1,NG-OPT-C-2024-06-2.5,Henry Hub Natural Gas,Short Call,2024-06,20,CONTRACT,0.08,0.06,30000,-12000,8000,6500,-1000,4500,8500,17000,-12500,-25000,0.03
2024-04-01,ENGY-PORT-1,NG-SWAP-2024-Q3,Henry Hub Natural Gas,Long Swap,2024-Q3,40,CONTRACT,2.35,2.42,290000,400000,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-01,ENGY-PORT-1,BRNT-FUT-2024-05,Brent Crude Oil,Short Futures,2024-05,1200,BBL,85.30,85.85,-1030200,-1200,0,0,0,35000,65000,130000,-95000,-190000,0.23
2024-04-01,ENGY-PORT-1,WTI-BRNT-SPREAD-2024-05,WTI-Brent Spread,Long Spread,2024-05,800,BBL,-3.10,-2.73,29600,800,0,0,0,8000,15000,30000,-25000,-45000,0.05
2024-04-01,ENGY-PORT-1,CL-FUT-2024-12,WTI Crude Oil,Long Futures,2024-12,600,BBL,78.45,78.65,471900,600,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-01,ENGY-PORT-1,NG-FUT-2024-12,Henry Hub Natural Gas,Long Futures,2024-12,15,CONTRACT,3.05,3.12,140400,150000,0,0,0,6000,12000,25000,-18000,-36000,0.04
2024-04-01,ENGY-PORT-1,CL-OPT-C-2024-09-90,WTI Crude Oil,Short Call,2024-09,1000,BBL,0.85,0.92,-92000,-350,85,420,-65,15000,28000,55000,-42000,-85000,0.10
2024-04-01,ENGY-PORT-1,HEATING-OIL-FUT-2024-05,Heating Oil,Long Futures,2024-05,500,BBL,2.65,2.70,450000,500,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-01,ENGY-PORT-1,NG-BASIS-WAHA-2024-05,Natural Gas Waha Basis,Short Basis,2024-05,20,CONTRACT,-0.45,-0.42,-42000,-200000,0,0,0,5000,9500,18000,-14000,-28000,0.03
2024-04-01,ENGY-PORT-1,TOTAL,PORTFOLIO TOTAL,Mixed,Various,N/A,N/A,N/A,N/A,1563800,452960,8295,1920,-160,145000,280000,560000,-420000,-850000,1.00
2024-04-02,ENGY-PORT-1,CL-FUT-2024-05,WTI Crude Oil,Long Futures,2024-05,1000,BBL,82.45,83.55,1100000,1000,0,0,0,28500,55000,110000,-85000,-175000,0.18
2024-04-02,ENGY-PORT-1,CL-FUT-2024-06,WTI Crude Oil,Long Futures,2024-06,1500,BBL,81.75,82.90,1725000,1500,0,0,0,45000,82500,165000,-127500,-262500,0.28
2024-04-02,ENGY-PORT-1,CL-FUT-2024-07,WTI Crude Oil,Short Futures,2024-07,800,BBL,80.80,81.85,-840000,-800,0,0,0,22000,40000,80000,-64000,-128000,0.15
2024-04-02,ENGY-PORT-1,CL-OPT-C-2024-05-85,WTI Crude Oil,Long Call,2024-05,500,BBL,1.45,1.95,97500,350,118,505,-55,12500,23500,45000,-35000,-75000,0.08
2024-04-02,ENGY-PORT-1,CL-OPT-P-2024-06-78,WTI Crude Oil,Long Put,2024-06,700,BBL,1.20,0.88,61600,-330,95,490,-42,15000,28000,55000,-42000,-85000,0.10
2024-04-02,ENGY-PORT-1,NG-FUT-2024-05,Henry Hub Natural Gas,Long Futures,2024-05,50,CONTRACT,2.15,2.18,307500,500000,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-02,ENGY-PORT-1,NG-FUT-2024-06,Henry Hub Natural Gas,Short Futures,2024-06,30,CONTRACT,2.28,2.22,-198000,-300000,0,0,0,12000,22000,44000,-33000,-66000,0.08
2024-04-02,ENGY-PORT-1,NG-OPT-C-2024-06-2.5,Henry Hub Natural Gas,Short Call,2024-06,20,CONTRACT,0.08,0.05,40000,-10000,8200,6300,-900,4500,8500,17000,-12500,-25000,0.03
2024-04-02,ENGY-PORT-1,NG-SWAP-2024-Q3,Henry Hub Natural Gas,Long Swap,2024-Q3,40,CONTRACT,2.35,2.38,250000,400000,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-02,ENGY-PORT-1,BRNT-FUT-2024-05,Brent Crude Oil,Short Futures,2024-05,1200,BBL,85.30,86.20,-1074000,-1200,0,0,0,35000,65000,130000,-95000,-190000,0.23
2024-04-02,ENGY-PORT-1,WTI-BRNT-SPREAD-2024-05,WTI-Brent Spread,Long Spread,2024-05,800,BBL,-3.10,-2.65,36000,800,0,0,0,8000,15000,30000,-25000,-45000,0.05
2024-04-02,ENGY-PORT-1,CL-FUT-2024-12,WTI Crude Oil,Long Futures,2024-12,600,BBL,78.45,79.15,504000,600,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-02,ENGY-PORT-1,NG-FUT-2024-12,Henry Hub Natural Gas,Long Futures,2024-12,15,CONTRACT,3.05,3.08,136800,150000,0,0,0,6000,12000,25000,-18000,-36000,0.04
2024-04-02,ENGY-PORT-1,CL-OPT-C-2024-09-90,WTI Crude Oil,Short Call,2024-09,1000,BBL,0.85,0.98,-98000,-380,82,430,-68,15000,28000,55000,-42000,-85000,0.10
2024-04-02,ENGY-PORT-1,HEATING-OIL-FUT-2024-05,Heating Oil,Long Futures,2024-05,500,BBL,2.65,2.72,460000,500,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-02,ENGY-PORT-1,NG-BASIS-WAHA-2024-05,Natural Gas Waha Basis,Short Basis,2024-05,20,CONTRACT,-0.45,-0.43,-45000,-200000,0,0,0,5000,9500,18000,-14000,-28000,0.03
2024-04-02,ENGY-PORT-1,TOTAL,PORTFOLIO TOTAL,Mixed,Various,N/A,N/A,N/A,N/A,2463400,442940,8495,1725,-165,145000,280000,560000,-420000,-850000,1.00
2024-04-03,ENGY-PORT-1,CL-FUT-2024-05,WTI Crude Oil,Long Futures,2024-05,1000,BBL,82.45,84.25,1800000,1000,0,0,0,28500,55000,110000,-85000,-175000,0.18
2024-04-03,ENGY-PORT-1,CL-FUT-2024-06,WTI Crude Oil,Long Futures,2024-06,1500,BBL,81.75,83.50,2625000,1500,0,0,0,45000,82500,165000,-127500,-262500,0.28
2024-04-03,ENGY-PORT-1,CL-FUT-2024-07,WTI Crude Oil,Short Futures,2024-07,800,BBL,80.80,82.65,-1320000,-800,0,0,0,22000,40000,80000,-64000,-128000,0.15
2024-04-03,ENGY-PORT-1,CL-OPT-C-2024-05-85,WTI Crude Oil,Long Call,2024-05,500,BBL,1.45,2.15,107500,385,110,485,-62,12500,23500,45000,-35000,-75000,0.08
2024-04-03,ENGY-PORT-1,CL-OPT-P-2024-06-78,WTI Crude Oil,Long Put,2024-06,700,BBL,1.20,0.75,52500,-350,98,500,-38,15000,28000,55000,-42000,-85000,0.10
2024-04-03,ENGY-PORT-1,NG-FUT-2024-05,Henry Hub Natural Gas,Long Futures,2024-05,50,CONTRACT,2.15,2.10,272500,500000,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-03,ENGY-PORT-1,NG-FUT-2024-06,Henry Hub Natural Gas,Short Futures,2024-06,30,CONTRACT,2.28,2.18,-186000,-300000,0,0,0,12000,22000,44000,-33000,-66000,0.08
2024-04-03,ENGY-PORT-1,NG-OPT-C-2024-06-2.5,Henry Hub Natural Gas,Short Call,2024-06,20,CONTRACT,0.08,0.04,45000,-8000,8400,6100,-850,4500,8500,17000,-12500,-25000,0.03
2024-04-03,ENGY-PORT-1,NG-SWAP-2024-Q3,Henry Hub Natural Gas,Long Swap,2024-Q3,40,CONTRACT,2.35,2.32,220000,400000,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-03,ENGY-PORT-1,BRNT-FUT-2024-05,Brent Crude Oil,Short Futures,2024-05,1200,BBL,85.30,86.85,-1134000,-1200,0,0,0,35000,65000,130000,-95000,-190000,0.23
2024-04-03,ENGY-PORT-1,WTI-BRNT-SPREAD-2024-05,WTI-Brent Spread,Long Spread,2024-05,800,BBL,-3.10,-2.60,40000,800,0,0,0,8000,15000,30000,-25000,-45000,0.05
2024-04-03,ENGY-PORT-1,CL-FUT-2024-12,WTI Crude Oil,Long Futures,2024-12,600,BBL,78.45,79.85,552000,600,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-03,ENGY-PORT-1,NG-FUT-2024-12,Henry Hub Natural Gas,Long Futures,2024-12,15,CONTRACT,3.05,3.02,129900,150000,0,0,0,6000,12000,25000,-18000,-36000,0.04
2024-04-03,ENGY-PORT-1,CL-OPT-C-2024-09-90,WTI Crude Oil,Short Call,2024-09,1000,BBL,0.85,1.10,-110000,-410,78,445,-72,15000,28000,55000,-42000,-85000,0.10
2024-04-03,ENGY-PORT-1,HEATING-OIL-FUT-2024-05,Heating Oil,Long Futures,2024-05,500,BBL,2.65,2.78,485000,500,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-03,ENGY-PORT-1,NG-BASIS-WAHA-2024-05,Natural Gas Waha Basis,Short Basis,2024-05,20,CONTRACT,-0.45,-0.40,-50000,-200000,0,0,0,5000,9500,18000,-14000,-28000,0.03
2024-04-03,ENGY-PORT-1,TOTAL,PORTFOLIO TOTAL,Mixed,Various,N/A,N/A,N/A,N/A,3529400,433425,8686,1530,-172,145000,280000,560000,-420000,-850000,1.00
2024-04-04,ENGY-PORT-1,CL-FUT-2024-05,WTI Crude Oil,Long Futures,2024-05,1000,BBL,82.45,83.75,1300000,1000,0,0,0,28500,55000,110000,-85000,-175000,0.18
2024-04-04,ENGY-PORT-1,CL-FUT-2024-06,WTI Crude Oil,Long Futures,2024-06,1500,BBL,81.75,82.95,1800000,1500,0,0,0,45000,82500,165000,-127500,-262500,0.28
2024-04-04,ENGY-PORT-1,CL-FUT-2024-07,WTI Crude Oil,Short Futures,2024-07,800,BBL,80.80,82.10,-1040000,-800,0,0,0,22000,40000,80000,-64000,-128000,0.15
2024-04-04,ENGY-PORT-1,CL-OPT-C-2024-05-85,WTI Crude Oil,Long Call,2024-05,500,BBL,1.45,1.88,94000,360,115,495,-58,12500,23500,45000,-35000,-75000,0.08
2024-04-04,ENGY-PORT-1,CL-OPT-P-2024-06-78,WTI Crude Oil,Long Put,2024-06,700,BBL,1.20,0.82,57400,-340,92,495,-40,15000,28000,55000,-42000,-85000,0.10
2024-04-04,ENGY-PORT-1,NG-FUT-2024-05,Henry Hub Natural Gas,Long Futures,2024-05,50,CONTRACT,2.15,2.25,425000,500000,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-04,ENGY-PORT-1,NG-FUT-2024-06,Henry Hub Natural Gas,Short Futures,2024-06,30,CONTRACT,2.28,2.30,-240000,-300000,0,0,0,12000,22000,44000,-33000,-66000,0.08
2024-04-04,ENGY-PORT-1,NG-OPT-C-2024-06-2.5,Henry Hub Natural Gas,Short Call,2024-06,20,CONTRACT,0.08,0.07,25000,-15000,7800,6700,-950,4500,8500,17000,-12500,-25000,0.03
2024-04-04,ENGY-PORT-1,NG-SWAP-2024-Q3,Henry Hub Natural Gas,Long Swap,2024-Q3,40,CONTRACT,2.35,2.45,330000,400000,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-04,ENGY-PORT-1,BRNT-FUT-2024-05,Brent Crude Oil,Short Futures,2024-05,1200,BBL,85.30,86.10,-1056000,-1200,0,0,0,35000,65000,130000,-95000,-190000,0.23
2024-04-04,ENGY-PORT-1,WTI-BRNT-SPREAD-2024-05,WTI-Brent Spread,Long Spread,2024-05,800,BBL,-3.10,-2.35,60000,800,0,0,0,8000,15000,30000,-25000,-45000,0.05
2024-04-04,ENGY-PORT-1,CL-FUT-2024-12,WTI Crude Oil,Long Futures,2024-12,600,BBL,78.45,79.35,522000,600,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-04,ENGY-PORT-1,NG-FUT-2024-12,Henry Hub Natural Gas,Long Futures,2024-12,15,CONTRACT,3.05,3.15,157500,150000,0,0,0,6000,12000,25000,-18000,-36000,0.04
2024-04-04,ENGY-PORT-1,CL-OPT-C-2024-09-90,WTI Crude Oil,Short Call,2024-09,1000,BBL,0.85,1.02,-102000,-390,80,435,-70,15000,28000,55000,-42000,-85000,0.10
2024-04-04,ENGY-PORT-1,HEATING-OIL-FUT-2024-05,Heating Oil,Long Futures,2024-05,500,BBL,2.65,2.74,470000,500,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-04,ENGY-PORT-1,NG-BASIS-WAHA-2024-05,Natural Gas Waha Basis,Short Basis,2024-05,20,CONTRACT,-0.45,-0.48,-35000,-200000,0,0,0,5000,9500,18000,-14000,-28000,0.03
2024-04-04,ENGY-PORT-1,TOTAL,PORTFOLIO TOTAL,Mixed,Various,N/A,N/A,N/A,N/A,2767900,447130,8087,2125,-168,145000,280000,560000,-420000,-850000,1.00
2024-04-05,ENGY-PORT-1,CL-FUT-2024-05,WTI Crude Oil,Long Futures,2024-05,1000,BBL,82.45,82.95,500000,1000,0,0,0,28500,55000,110000,-85000,-175000,0.18
2024-04-05,ENGY-PORT-1,CL-FUT-2024-06,WTI Crude Oil,Long Futures,2024-06,1500,BBL,81.75,82.15,600000,1500,0,0,0,45000,82500,165000,-127500,-262500,0.28
2024-04-05,ENGY-PORT-1,CL-FUT-2024-07,WTI Crude Oil,Short Futures,2024-07,800,BBL,80.80,81.35,-440000,-800,0,0,0,22000,40000,80000,-64000,-128000,0.15
2024-04-05,ENGY-PORT-1,CL-OPT-C-2024-05-85,WTI Crude Oil,Long Call,2024-05,500,BBL,1.45,1.65,82500,320,125,510,-48,12500,23500,45000,-35000,-75000,0.08
2024-04-05,ENGY-PORT-1,CL-OPT-P-2024-06-78,WTI Crude Oil,Long Put,2024-06,700,BBL,1.20,0.95,66500,-315,90,480,-45,15000,28000,55000,-42000,-85000,0.10
2024-04-05,ENGY-PORT-1,NG-FUT-2024-05,Henry Hub Natural Gas,Long Futures,2024-05,50,CONTRACT,2.15,2.20,325000,500000,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-05,ENGY-PORT-1,NG-FUT-2024-06,Henry Hub Natural Gas,Short Futures,2024-06,30,CONTRACT,2.28,2.25,-210000,-300000,0,0,0,12000,22000,44000,-33000,-66000,0.08
2024-04-05,ENGY-PORT-1,NG-OPT-C-2024-06-2.5,Henry Hub Natural Gas,Short Call,2024-06,20,CONTRACT,0.08,0.06,35000,-12000,8000,6500,-1000,4500,8500,17000,-12500,-25000,0.03
2024-04-05,ENGY-PORT-1,NG-SWAP-2024-Q3,Henry Hub Natural Gas,Long Swap,2024-Q3,40,CONTRACT,2.35,2.40,275000,400000,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-05,ENGY-PORT-1,BRNT-FUT-2024-05,Brent Crude Oil,Short Futures,2024-05,1200,BBL,85.30,85.50,-828000,-1200,0,0,0,35000,65000,130000,-95000,-190000,0.23
2024-04-05,ENGY-PORT-1,WTI-BRNT-SPREAD-2024-05,WTI-Brent Spread,Long Spread,2024-05,800,BBL,-3.10,-2.55,44000,800,0,0,0,8000,15000,30000,-25000,-45000,0.05
2024-04-05,ENGY-PORT-1,CL-FUT-2024-12,WTI Crude Oil,Long Futures,2024-12,600,BBL,78.45,78.85,480000,600,0,0,0,18000,35000,70000,-52500,-105000,0.12
2024-04-05,ENGY-PORT-1,NG-FUT-2024-12,Henry Hub Natural Gas,Long Futures,2024-12,15,CONTRACT,3.05,3.10,142500,150000,0,0,0,6000,12000,25000,-18000,-36000,0.04
2024-04-05,ENGY-PORT-1,CL-OPT-C-2024-09-90,WTI Crude Oil,Short Call,2024-09,1000,BBL,0.85,0.90,-90000,-360,85,420,-65,15000,28000,55000,-42000,-85000,0.10
2024-04-05,ENGY-PORT-1,HEATING-OIL-FUT-2024-05,Heating Oil,Long Futures,2024-05,500,BBL,2.65,2.70,425000,500,0,0,0,15000,28000,55000,-42000,-85000,0.10
2024-04-05,ENGY-PORT-1,NG-BASIS-WAHA-2024-05,Natural Gas Waha Basis,Short Basis,2024-05,20,CONTRACT,-0.45,-0.44,-44000,-200000,0,0,0,5000,9500,18000,-14000,-28000,0.03
2024-04-05,ENGY-PORT-1,TOTAL,PORTFOLIO TOTAL,Mixed,Various,N/A,N/A,N/A,N/A,1363500,440425,8300,1910,-158,145000,280000,560000,-420000,-850000,1.00 